"","Yr","DOY","Psy_num","lwp.m","lwp.sd","lwp.n","Temp.m","Temp.sd","ind","tag","treatment","doy.yr","DOY.yr"
"85",2018,192,"PSY4",-0.469437873244407,0.0117752843740969,7,20.1571428571429,0.0138013111868481,4,498,"control","192-18",2018-07-11
"86",2018,192,"PSY6",-0.73656195034853,0.0113576936664083,7,20.1571428571429,0.0138013111868481,6,588,"swd","192-18",2018-07-11
"87",2018,192,"PSY8",-1.27843068593425,0.0161727557932297,7,20.1571428571429,0.0138013111868481,8,10954,"control","192-18",2018-07-11
"88",2018,193,"PSY1",-1.18496689045628,0.0152989490322343,7,19.9828571428571,0.0236038737740826,1,590,"swd","193-18",2018-07-12
"89",2018,193,"PSY3",-0.451112995806272,0.0242866583882507,7,19.9828571428571,0.0236038737740826,3,589,"control","193-18",2018-07-12
"90",2018,193,"PSY4",-0.45651781721414,0.0157438137042456,7,19.9828571428571,0.0236038737740826,4,498,"control","193-18",2018-07-12
"91",2018,193,"PSY6",-1.20778854824704,0.0254494299982333,7,19.9828571428571,0.0236038737740826,6,588,"swd","193-18",2018-07-12
"92",2018,193,"PSY9",0.117822293453371,NA,1,19.99,NA,9,600,"mwd","193-18",2018-07-12
"93",2018,194,"PSY1",-1.8023591832736,0.019239613522927,7,20.3485714285714,0.0226778683805545,1,590,"swd","194-18",2018-07-13
"94",2018,194,"PSY3",-0.339144300303234,0.0200899611442616,7,20.3485714285714,0.0226778683805545,3,589,"control","194-18",2018-07-13
"95",2018,194,"PSY4",-0.232845988963737,0.010288315173696,6,20.345,0.0225831795812731,4,498,"control","194-18",2018-07-13
"96",2018,194,"PSY6",-1.20297487245242,0.0201390772605475,7,20.3485714285714,0.0226778683805545,6,588,"swd","194-18",2018-07-13
"97",2018,195,"PSY2",-0.634210358087205,0.0126669807901431,7,19.8585714285714,0.0121498579258793,2,592,"mwd","195-18",2018-07-14
"98",2018,195,"PSY4",-0.65877955740033,0.0190112181072445,7,19.8585714285714,0.0121498579258793,4,498,"control","195-18",2018-07-14
"99",2018,195,"PSY8",-0.743260698271692,0.0207211282435848,7,19.8585714285714,0.0121498579258793,8,10954,"control","195-18",2018-07-14
"100",2018,195,"PSY9",-0.0631034447309392,0.0182395537181971,7,19.8585714285714,0.0121498579258793,9,600,"mwd","195-18",2018-07-14
"101",2018,196,"PSY2",-1.33707234129376,0.0296022195166338,7,19.6585714285714,0.0146385010942291,2,592,"mwd","196-18",2018-07-15
"102",2018,196,"PSY4",-0.421121473262443,0.0335611104644566,7,19.6585714285714,0.0146385010942291,4,498,"control","196-18",2018-07-15
"103",2018,196,"PSY6",-1.16770961874619,0.0427534455161525,7,19.6585714285714,0.0146385010942291,6,588,"swd","196-18",2018-07-15
"104",2018,196,"PSY7",-1.25360837878628,0.0488421285464712,7,19.6585714285714,0.0146385010942291,7,591,"swd","196-18",2018-07-15
