Date,genuis,species,ID,Amax,E,gs,lwp
8-Jul-18,aesculus,californica,AECA1_590,12.6,4.7,167,NA
8-Jul-18,aesculus,californica,AECA7_591,9.4,3.3,106,NA
8-Jul-18,aesculus,californica,AECA4_498,11,5.6,220,NA
8-Jul-18,aesculus,californica,AECA8_10954,10,7,294,NA
8-Jul-18,aesculus,californica,AECA5_10999,4,1.5,50,NA
8-Jul-18,aesculus,californica,AECA10_159,10.2,5.9,233,NA
9-Jul-18,aesculus,californica,AECA6_588,4.2,1.6,50,NA
9-Jul-18,aesculus,californica,AECA3_589,14,6.9,318,NA
9-Jul-18,aesculus,californica,AECA2_592,5.5,1.8,555,NA
9-Jul-18,aesculus,californica,AECA9_600,15.6,6.9,280,NA
9-Jul-18,aesculus,californica,AECA1_590,9,3.11,102,NA
9-Jul-18,aesculus,californica,AECA7_591,6.5,2.4,75,NA
9-Jul-18,aesculus,californica,AECA4_498,8.5,4.6,158,NA
9-Jul-18,aesculus,californica,AECA8_10954,5.9,4.6,158,NA
9-Jul-18,aesculus,californica,AECA5_10999,3.5,1.3,35,NA
9-Jul-18,aesculus,californica,AECA10_159,9,7.1,292,NA
10-Jul-18,aesculus,californica,AECA6_588,2.1,0.64,17.6,NA
10-Jul-18,aesculus,californica,AECA3_589,12.4,7.84,357,NA
10-Jul-18,aesculus,californica,AECA2_592,4.6,1.6,45,NA
10-Jul-18,aesculus,californica,AECA9_600,13.5,4,117,NA
10-Jul-18,aesculus,californica,AECA1_590,5.5,1.8,48,NA
10-Jul-18,aesculus,californica,AECA7_591,3.2,1.2,39,NA
10-Jul-18,aesculus,californica,AECA4_498,13.45,5.5,194,NA
10-Jul-18,aesculus,californica,AECA8_10954,11.26,6.3,235,NA
10-Jul-18,aesculus,californica,AECA5_10999,2.25,0.98,23.5,NA
10-Jul-18,aesculus,californica,AECA10_159,11.27,6.2,224,NA
11-Jul-18,aesculus,californica,AECA6_588,7.8,2.8,95,NA
11-Jul-18,aesculus,californica,AECA3_589,11.4,6.9,350,NA
11-Jul-18,aesculus,californica,AECA2_592,13.2,3.9,147,NA
11-Jul-18,aesculus,californica,AECA9_600,14.3,5.56,220,NA
11-Jul-18,aesculus,californica,AECA1_590,3.77,0.13,42,NA
11-Jul-18,aesculus,californica,AECA7_591,7.4,2.1,69,NA
11-Jul-18,aesculus,californica,AECA4_498,6.87,4.3,162,NA
11-Jul-18,aesculus,californica,AECA8_10954,14.1,7.6,352,NA
11-Jul-18,aesculus,californica,AECA5_10999,3.4,1.2,35,NA
11-Jul-18,aesculus,californica,AECA10_159,12.8,6.4,272,NA
13-Jul-18,aesculus,californica,AECA6_588,4.1,1.4,48,NA
13-Jul-18,aesculus,californica,AECA3_589,10.6,5.9,287,NA
13-Jul-18,aesculus,californica,AECA2_592,2.5,0.08,26,NA
13-Jul-18,aesculus,californica,AECA9_600,17.6,7.5,396,NA
13-Jul-18,aesculus,californica,AECA1_590,3.8,1.2,39,NA
13-Jul-18,aesculus,californica,AECA7_591,2.1,0.08,27,NA
13-Jul-18,aesculus,californica,AECA4_498,10.16,4.8,205,NA
13-Jul-18,aesculus,californica,AECA8_10954,13.9,6.2,295,NA
