ABAFWngg,tag,time-since-start,date-time,date,time
12.06698237,954,7,9/20/18,2018-09-20,9:41:58
13.20234362,954,9,9/22/18,2018-09-22,9:47:42
7.97849966,954,11,9/21/18,2018-09-21,1:08:31
4.549319224,954,13,9/21/18,2018-09-21,10:33:42
4.842715949,954,14,9/19/18,2018-09-19,7:19:31
64.75037405,954,15,9/20/18,2018-09-20,11:42:26
5.352188492,954,16,9/22/18,2018-09-22,7:15:35
11.71580637,954,17,9/22/18,2018-09-22,5:04:18
4.561139185,954,18,9/21/18,2018-09-21,2:14:35
7.108267528,954,19,9/21/18,2018-09-21,4:34:59
9.092169045,954,21,9/20/18,2018-09-20,11:41:34
86.57556309,999,1,9/21/18,2018-09-21,3:30:39
77.94156053,999,3,9/22/18,2018-09-22,7:58:10
131.1536623,999,4,9/20/18,2018-09-20,10:25:25
,,,9/20/18,2018-09-20,10:36:17
112.6010795,999,5,9/19/18,2018-09-19,10:14:16
40.73641858,999,6,9/22/18,2018-09-22,9:58:34
7.648826938,999,7,9/20/18,2018-09-20,1:18:09
41.80612429,999,8,9/20/18,2018-09-20,10:47:09
6.970286422,999,9,9/21/18,2018-09-21,12:35:55
22.49124865,999,10,9/21/18,2018-09-21,6:01:56
26.5267089,999,12,9/19/18,2018-09-19,9:29:55
103.0834782,999,12,9/22/18,2018-09-22,8:09:02
54.99442661,999,13,9/21/18,2018-09-21,8:02:21
45.37652559,999,14,9/22/18,2018-09-22,11:02:55
36.75563568,999,15,9/21/18,2018-09-21,9:50:11
29.64112502,999,16,9/21/18,2018-09-21,2:02:51
17.69325807,999,17,9/21/18,2018-09-21,8:44:58
24.62652611,999,18,9/21/18,2018-09-21,6:23:40
20.28844313,999,19,9/20/18,2018-09-20,7:31:18
45.9795872,999,20,9/19/18,2018-09-19,6:26:08
,,,,,
,,,,,
